*Short Form	EN	HU	NL	ES	RO	PL	CS	BS	PT-BR	PT-PT	ET	FR-CA	FR-FR	KR	ZH-CN	ZH-TW	SR	RU	TR	FI	BG	UA	DE	CAT	IT	JP	LT	AR	KZ	NO	FIL	HIN	TH	ID	GE	LV	VN	GR	BRL	SK	SW	FA
Select Case	Select Case	Válaszd ki a Gépházat	Kies Kast	Selecciona la caja	Alege Carcasă	Wybierz obudowę	Vybrat bednu	Izaberi Kutiju	Selecione o Gabinete	Seleciona a Torre	Vali Arvutikorpus	Sélectionner un boîtier	Sélectionnez le boîtier	케이스 선택	选择机箱	選擇機箱	Izaberi kućiste	Выберите компьютер	Kasa Seç	Valitse Kuori	Избери Калъф	Вибери Бокс	Wähle ein Gehäüse	Selecciona Caixa	Seleziona la Scocca	ケースを選択	Pasirinkite dėklą	إختر حالة	Кейсты таңдаңыз	Velg et kabinett	Pumili ng kaso	मामलेका चयन करें	เลือกเคส	Pilih case	შეეხეთ ქეისს	Izvēlies Korpusu	Chọn Case	Επιλογή Κουτιού	Выберыце Рэгістр	Vyber bedňu	Välja chassi	کیس را انتخاب کنید
Setting Failed	Setting Failed	Beállítás sikertelen	Instelling Gefaald	Configuración fallida	Setare Nereusita	Błąd podczas łączenia	Nastavení selhalo	Postavljanje Nije Uspjelo	Configuração Falhou	O emparelhamento Falhou	Seade ebaõnnestus	Réglages Échoué	Échec du paramétrage	설정 실패	设置失败	設置失敗	Postavka nije uspešna	Настройка прервана	Ayar Başarısız	Asetus Epäonnistui	Настройването е Провалено	Налаштування Провалено	Einstellung Gescheitert	Configuració Fallada	Configurazione Fallita	設定に失敗しました	Nustatymai nepavyko	فشل الإعداد	Параметр орындалмады	Oppsett feilet	Nabigo ang setting	सेटि गं वि फल	การเชื่อมต่อล้มเหลว	Pengaturan Gagal	მიერთება ვერ მოხერხდა	Iestatījums neveiksmīgs	Cài Đặt Không Thành Công	Η Ρύθμιση Απέτυχε	Памылка наладкі	Nastavenie bolo neuspešné	Inställningar misslyckades	تنظیم موفقیت آمیز نبود
Setting Completed	Setting Completed	Sikeres Beállítás	Instelling Vooltooid	Configuración completada	Setare Reusita	Łączenie udane	Nastavení dokončeno	Postavljanje Završeno	Configuração Completa	Emparelhamento com sucesso	Seade õnnestus	Réglages Complétés	Paramétrage terminé	설정 성공	设置成功	設置成功	Postavka uspešna	Настройка завершена	Ayar Başarılı	Asetus Onnistui	Настройването е Приключено	Налаштування Готово	Einstellung Erfolgreich	Configuració Completada	Configurazione Completata	設定完了	Nustatymai baikti	اكتمل الإعداد	Орнату аяқталды	Oppsett fullført	Nakumpleto ang setting	सेटि गं पर्णू र्ण	การเชื่อมต่อเสร็จสมบูรณ์	Pengaturan Berhasil	მიერთებულია	Iestatījums izdevās	Cài Đặt Thành Công	Η Ρύθμιση Ολοκληρώθηκε	Налада завершана	Nastavenie je dokončené	Inställnigar lyckades	تنظیم موفقیت آمیز بود
Use Hammer to Open	Use Hammer to Open	Használd a kalapácsot a kinyitáshoz	Gebruik Hamer om te Openen	Usa el martillo para abrir	Foloseste Ciocan pentru a deschide	Użyj młotka by otworzyć	Použij kladivo pro otevření	Koristi Čekić da Otvoriš	Use o martelo para abrir	Usa o martelo para abrir	Kasuta haamrit, et avada	Utiliser le marteau pour ouvrir	Utilisez le marteau pour ouvrir	오함마로 치시오	用锤子打开	用錘子打開	Uzmi čekić da bi otvorio	Используйте молоток	Açmak için çekici kullan	Käytä Vasaraa Avataksesi	Използвай Чук За Да Отвориш	Використай Молоток щоб відкрити	Zum Öffnen Hammer benutzen	Utilitza el martell per obrir	Usa il Martello per Aprire	ハンマーを使って箱を開ける	Naudok Plaktuką atidarymui	استخدم المطرقة للفتح	Ашу үшін балға пайдаланыңыз	Bruk en hammer for å åpne	Gumamit ng martilyo upang buksan	खोलनेके लि ए हथौड़ा का प्रयोग करें	ใช้ค้อนเพื่อเปิด	Gunakan Palu Untuk Membuka	გამოუყენეთ ჩაქუჩი გასახსნელად	Izmanto Āmuru Lai Atvērtu	Sử Dụng Búa Để Mở	Χρησιμοποιήστε το σφυρί για να ανοίξει	Выкарыстоўвайце малаток, каб адкрыць	Použi kladivo na otvorenie	Använd hammare	از چکش برای باز کردن استفاده کنید
Broken	Broken	Törött	Kapot	Roto	Stricat	Zepsuty	Rozbitý	Pokvareno	Quebrado	Partido	Katkine	Défectueux	Cassé	고장	已损坏	已損壞	Pokvareno	Сломано	Bozuk	Rikki	Счупен	Зламано	Kaputt	Trencat	Rotto	(故障)	Sulaužytas	مكسور	Сынған	Ødelagt	Nasira	टूटा हुआ	เสีย	Rusak	დაზიანებული	Saplīsis	Bị Hỏng	Σπασμένο	Зламаны	Pokazený	Förstörd	شکسته
Supply Missing!	Supply Missing!	Nincs Tápegység!	Batterij Opslag Ontbreekt!	Falta Batería!	Alimentare Lipsa!	Brak zasilacza!	Chybí zdroj napájení!	Nedostaje Napajanje!	Fonte faltando!	A Fonte está em falta!	Vool puudub!	Bloc d'alimentation manquant!	Bloc d'alimentation manquant!	파워를 연결하시오!	供应器失踪！	供應器失蹤！	Nedostaje napajanje!	Блок питания отсутствует	Güç kaynağı yok!	Sisältö Puuttuu!	Захранване Липсва!	Не вистачає енергії!	Fehlendes Netzteil!	Falta subministrament!	Alimentatore Mancante!	電源がありません！	Trūksta tiekimo!	العرض مفقود!	Жабдық жетіспейді!	Forsyning mangler!	Nawawala ang supply!	आपर्तिूर्ति नदारद!	ต้องการซัพพลาย!	Tidak Ada Power Supply	ენერგიის წყარო არ არის მიერთებული	Nav Supply	Thiếu Nguồn!	Τροφοδοτικό Λείπει	Пастаўка адсутнічае!	Chýba zdroj!	nättagret saknas	منبع تغذیه نیست!
Motherboard Missing!	Motherboard Missing!	Nincs alaplap!	Moederboord Ontbreekt!	Falta la placa base!	Placa de Baza Lipsa!	Brak płyty głównej!	Chybí základní deska!	Nedostaje Matična Ploča!	Placa mãe faltando!	A Placa Mãe está em falta!	Emaplaat puudub!	Carte mère manquante!	Carte mère manquante!	메인보드를 연결하시오!	主板失踪！	主板失蹤！	Nedostaje matična ploča!	Материнская плата отсутствует	Anakart yok!	Emolevy Puuttuu!	Дънна Платка Липсва!	Не вистачає Матер. плати!	Fehlendes Motherboard!	Falta la placa mare!	Scheda Madre Mancante!	マザーボードがありません!	Trūksta motininės plokštės!	اللوحة الأم مفقودة!	Аналық плата жоқ!	Hovedkort mangler!	Nawawala ang motherboard!	मदरबोर्ड गायब!	ต้องการเมนบอร์ด!	Tidak Ada Motherboard	დედაპლატა არ არის მიერთებული	Nav Motherboard	Thiếu Bo Mạch Chủ!	Μητρική Πλακέτα Λείπει	Матчына плата адсутнічае!	Chýba základná doska!	Moderkort	مادربورد نیست!
Storage Missing!	Storage Missing!	Nincs tárhely!	Opslag Ontbreekt!	Falta almacenamiento!	Stocare Lipsa!	Brak dysku twardego!	Chybí úložný prostor!	Nedostaje Disk!	HD faltando!	O Disco Rígido está em falta!	Mälu puudub!	Disque dur manquant!	Stockage manquant!	하드를 연결하시오!	硬盘失踪！	硬盤失蹤！	Nedostaje trajna memorija!	Память отсутствует	Saklama aygıtı yok!	Tallennustila Puuttuu!	Памет Липсва!	Не вистачає Пам'яті!	Fehlender Speicher!	Falta emmagatzematge!	Archiviazione Mancante!	ストレージがありません！	Trūksta saugyklos!	سعة التخزين مفقودة!	Жад жоқ!	Lagring mangler!	Nawawala ang storage!	भडं ारण अनपुलब्ध!	การต้องฮาร์ดดิสก์!	Tidak Ada storage	მეხსიერება არ არის მიერთებული	Nav Storage	Thiếu Ổ Cứng!	Λείπει ο Σκληρός Δίσκος	Адсутнічае сховішча!	Chýba úložisko!	Föråd saknas	حافظه نیست!
Ram Missing!	Ram Missing!	Nincs ram!	Ram Geheugen Ontbreekt!	Falta la memoria RAM!	Memorie Ram Lipsa!	Brak RAMu!	Chybí pameť!	Nedostaje Ram!	RAM está faltando!	A RAM está em falta!	Vahemälu puudub!	RAM manquante!	Mémoire Vive manquante!	RAM을 연결하시오!	内存失踪！	記憶體失蹤！	Nedostaje RAM pločica!	Оперативная память отсутствует	Ram yok!	Sisämuisti Puuttuu!	Рам Памет Липсва!	Не вистачає Ram!	Fehlender Ram!	Falta la Ram!	Ram mancante!	RAMがありません！	Truksta atminties!	ذاكرة الوصول العشوائي مفقودة!	Қошқар жоқ!	Ram mangler!	Kulang ang RAM!	राम लापता!	ต้องการแรม!	Tidak Ada Ram	RAM არ არის მიერთებული	Nav RAM	Thiếu Ram!	Λείπει η RAM	Баран прапаў!	Chýba pamäť!	Ram saknas	رم نیست!
Processor Missing!	Processor Missing!	Nincs Processzor!	Processor Ontbreekt!	Falta el Procesador!	Procesor Lipsa!	Brak procesora!	Chybí procesor!	Nedostaje Procesor!	Processador faltando!	O CPU está em falta!	Protsessor puudub!	Processeur manquant!	Processeur manquant!	프로세서를 연결하시오!	处理器失踪！	處理器失蹤！	Nedostaje procesor!	Процессор отсутствует	İşlemci yok!	Prosessori Puuttuu!	Процесор Липсва!	Не вистачає Процессора!	Fehlender Prozessor!	Falta el processador!	Processore Mancante!	CPUがありません！	Truksta Procesoriaus!	المعالج مفقود	Процессор жоқ!	Prosessor mangler!	Nawawala ang processor!	प्रोसेसर गायब!	การต้องซีพียู!	Tidak Ada Processor	პროცესორი არ არის მიერთებული	Nav Processor	Thiếu CPU!	Λείπει ο Επεξεργαστής	Адсутнічае працэсар!	Chýba procesor!	Processor saknas	پردازنده نیست!
Cooler Missing!	Cooler Missing!	Nincs Hűtés!	Koeler Ontbreekt!	Falta el Ventilador !	Radiator Lipsa!	Brak chłodzenia!	Chybí chladič!	Nedostaje Hladnjak!	Cooler faltando!	O Cooler está em falta!	Jahutus puudub!	Refroidisseur manquant!	Refroidisseur manquant!	쿨러를 연결하시오!	散热器失踪！	散熱器失蹤！	Nedostaje hladnjak!	Кулер отсутствует	Soğutucu yok!	Tuuletin Puuttuu!	Охладител Липсва!	Не вистачає Куллера!	Fehlender Lüfter!	Falta la refrigeració!	Ventola mancante!	CPUクーラーがありません!	Truksta aušinimo!	برودة مفقودة	Салқындатқыш жоқ!	Kjølevifte mangler!	Nawawala ang cooler	कूलर गायब!	ต้องการคูลเลอร์!	Tidak Ada Cooler	ქულერი არ არის მიერთებული	Nav Cooler	Thiếu Tản Nhiệt!	Λείπει η Ψύκτρα	Кулер адсутнічае!	Chýba chladič!	Kylare saknas	خنک کننده نیست
Your Score	Your Score	Pontjaid	Jouw Punten	Tu puntuación	Scorul Tau	Twój wynik	Vaše skóre	Vaš Rezultat	Sua Pontuação	A tua pontuação	Sinu skoor	Ton score	Ton score	벤치마크 점수	你的分数	你的分數	Tvoji poeni	Ваш счёт	Puan	Sinun Piste	Твоят Резултат	Твій результат	Dein Ergebnis	La teva puntuació	Il tuo Punteggio	ベンチマークスコア	Jūsų rezultatas	درجاتك	Сіздің ұпайыңыз	Din poengsum	Ang iyong iskor	अपनेस्कोर	คะแนนของคุณ	Score Kamu	შენი ქულაა	Tavs Punktu Skaits	Điểm Của Bạn	Το Σκόρ σου	Ваш бал	Tvoje skóre	Ditt resultat	امتیاز شما
Close	Close	Bezár	Sluit	Cerrar	Inchide	Zamknij	Zavřít	Zatvori	Fechar	Fechar	Sulge	Fermer	Fermer	닫기	关闭	關閉	Zatvori	Закрыть	Kapat	Sulje	Затвори	Закрити	Schließen	Tanca	Chiudi	閉じる	Uždaryti	قريب	Жабық	Lukk	Isara	बदं करे	กำลังปิด	Tutup	დახურვა	Aizvērt	Đóng	Κλείσιμο	Блізка	Zavrieť	Stäng	بستن
Start Miner	Start Miner	Miner indítása	Start Mijner	Empezar a minar	Porneste Miner	Uruchom koparkę	Zapnout těžič	Započinjem Kopača	Iniciar Minerador	Iniciar Minerador	Käivita kaevandaja	Démarrer le mineur	Démarrer le mineur	채굴하기	开始挖矿	開始挖礦	Pokreni Majner	Запустить майнер	Madenciyi Başlat	Aloita Kaivaja	Включи Миньор	Включити Майнер	Starte Miner	Comença a minar	Inizia a Minare	マイニングを開始	Pradėti kasėją	بدء عامل منجم	Miner іске қосыңыз	Start miner	Simulan ang minero	खान शरूु करें	เริ่มขุด	Mulai Menambang	Miner-ის დაწყება	Sākt Rakt	Bắt Đầu Khai Thác	Εκκίνηστε το MIner	Запусціце Майнер	Zapnúť ťažič	Starta grävare	شروع استخراج
Mining...	Mining...	Mining...	Mijnen...	minando...	Se mineaza...	Kopanie...	Těžím...	Kopanje...	Minerando...	A Minerar...	Kaevandus...	Minage...	Minage...	채굴중...	挖矿中...	挖礦中...	Majnovanje u toku...	Майнинг...	Maden Çıkarlıyor...	Kaivaa...	Копаене...	Майнинг...	Am Minen...	Minant...	Minando...	マイニング中...	Kąsama...	التعدين...	Mining...	Miner...	Pagmimina...	खदुाई...	กำลังขุด...	Menambang	მიმდინარეობს მაინერობა	Rokas...	Đang Khai Thác...	Mining...	Здабыча...	Ťažím...	Gräver...	در حال استخراج
Color Settings	Color Settings	Szín Beállítás	Kleur Instellingen	Ajustes de color	Setarea Culorii	Ustawienie kolorów	Nastavení barvy	Postavke Boje	Configurações de Cor	Definições de cor	Värvi seaded	Réglages des couleurs	Paramètres des couleurs	색 설정	颜色设置	顏色設置	Postavke boje	Настройка цвета	Renk Ayarı	Väri Asetus	Настройки на Цвета	Налаштування Кольору	Farb Einstellungen	Configuració de color	Impostazioni del Colore	色の設定	Spalvų nustatymai	إعدادات الألوان	Түс параметрлері	Fargeinnstillinger	Mga setting ng kulay	रंग सेटि ग्ं स	ตั้งค่าสี	Pengaturan Warna	ფერის პარამეტრები	Krāso Iestatījumi	Cài Đặt Màu	Ρυθμίσεις Χρωμάτων	Налады колеру	Nastavenia farby	Färg inställningar	تنظیمات رنگ
Add	Add	Hozzáad	Toevoegen	Añadir	Adauga	Dodaj	Přidat	Dodaj	Adicionar	Adicionar	Lisa	Ajouter	Ajouter	추가	添加	添加	Dodaj	Добавить	Ekle	Lisää	Добави	Добавити	Hinzufügen	Afegeix	Aggiungi	追加	Pridėti	يضيف	қосу	Legg til	Idagdag	जोड़ें	เพิ่ม	Tambahkan	დამატება	Pievienot	Thêm	Προσθήκη	Дадаць	Pridať	Sätt dit	افزودن
Click to Remove Color	Click to Remove Color	Kattints, hogy eltávolítsd a színt	Klik om kleur te verwijderen	Toca para quitar el color	Apasa pentru a Sterge Culoarea	Kliknij aby usunąć kolor	Klikni pro smazání barvy	Klikni da Izbrišeš Boju	Clique para Remover Cor	Clica para remover a cor	Vajuta, et eemaldada värv	Appuyer pour retirer la couleur	Appuyer pour supprimer la couleur	눌러서 색을 없애시오	点击移除	點擊移除	Klikni da bi uklonio boju	Нажмите чтобы убрать цвет	Renk kaldırmak için tıkla	Paina Poistaaksesi Värin	Натисни за да Изтриеш Цвета	Натисни щоб видалити колір	Zum entfernen der Farbe Klicken	Click per treure un color	Clicca per Rimuovere un Colore	クリックして色を削除	Spustelėkite norėdami pašalinti spalvą	انقر لإزالة اللون	Түсті жою үшін басыңыз	Klikk for å fjerne farge	I-click upang alisin ang kulay	रंग हटानेके लि ए क्लि क करें	คลิกเพื่อลบสี	Klik Untuk Menghapus Warna	დააჭირეთ რომ წაიშალოს ფერი	Piespied lai noņemtu krāsu	Bấm Để Xóa	Κλίκ για Διαγραφή	Націсніце, каб выдаліць колер	Klikni pre odstránenie farby	Tryck for att ta bort färg	برای حذف رنگ ضربه بزنید
Frequency Settings	Frequency Settings	Frekvencia beállítás	Frequentie	Ajuste de frecuencia	Setare Frecventa	Ustawienia częstotliwości	Nastavení frekvence	Postavke frekvencije	Configurações de Frequência	Definições de Frequência	Sageduse seaded	Réglages de la fréquence	Paramètres de la fréquence	오버클럭 설정	频率设置	頻率設置	Podešavanja frekvencije	Настройка частоты	Frekans Ayarı	Toisto asetus	Настройки на Честотата	Налаштування частоти	Frequenz Einstellungen	Configuració de freqüència	Impostazioni Frequenza	周波数設定	Dažnio nustatymai	إعدادات التردد	Жиілік параметрлері	Frekvensinnstillinger	Mga setting ng dalas	आवत्तिृत्ति सेटि ग्ं स	ตั้งค่าความเร็วซีพียู	Pengaturan frekuensi	პროცესორის მუშაობა	Frekvences Iestatījumi	Cài Đặt Hiệu Xuất	Ρυθμίσεις Συχνότητας	Налады частоты	Nastavenia frekmencie	Frekvens inställningar	تنظیمات فرکانس
